Mun;Referen;N.Fijo ;D;Nlo;Nuc;Cvia;Descripción Vía               ;Npor;Es;Pl;Man;De;Superfic.;Om
088;7974057;3136046;Q;003;001;1140;GAZTELU                       ;030 ;  ;01;   ;B ;   137,00;MI
088;7974057;3136046;Q;004;001;1140;GAZTELU                       ;030 ;  ;BH;   ;B ;   119,00;MI
088;7974058;3136032;G;001;001;1140;GAZTELU                       ;031 ;  ;00;   ;B ;   232,00;MI
088;7974058;3136032;G;002;001;1140;GAZTELU                       ;031 ;  ;01;   ;V ;   116,00;MI
088;7974058;3136032;G;003;001;1140;GAZTELU                       ;031 ;  ;01;   ;B ;   116,00;MI
088;7974058;3136032;G;004;001;1140;GAZTELU                       ;031 ;  ;BH;   ;B ;   116,00;MI
088;7974059;3162867;S;001;001;1140;GAZTELU                       ;032 ;  ;00;   ;B ;   183,00;MI
088;7974059;3162867;S;002;001;1140;GAZTELU                       ;032 ;  ;01;   ;V ;   182,00;MI
088;7974059;3162867;S;003;001;1140;GAZTELU                       ;032 ;  ;BH;   ;V ;    91,00;MI
088;7974060;3162868;D;001;001;1140;GAZTELU                       ;034 ;  ;00;   ;B ;   220,00;MI
088;7974060;3162868;D;002;001;1140;GAZTELU                       ;034 ;  ;01;   ;V ;   110,00;MI
088;7974060;3162868;D;003;001;1140;GAZTELU                       ;034 ;  ;01;   ;B ;   110,00;MI
088;7974060;3162868;D;004;001;1140;GAZTELU                       ;034 ;  ;BH;   ;B ;   220,00;MI
088;7974061;3136044;A;001;001;1140;GAZTELU                       ;035 ;  ;00;   ;B ;   336,00;MI
088;7974061;3136044;A;002;001;1140;GAZTELU                       ;035 ;  ;01;   ;B ;   168,00;MI
088;7974061;3136044;A;003;001;1140;GAZTELU                       ;035 ;  ;01;   ;V ;   168,00;MI
088;7974061;3136044;A;004;001;1140;GAZTELU                       ;035 ;  ;BH;   ;B ;   117,00;MI
088;7974062;3136061;B;001;001;1140;GAZTELU                       ;037 ;  ;00;   ;B ;   203,00;MI
088;7974062;3136061;B;002;001;1140;GAZTELU                       ;037 ;  ;01;   ;V ;   101,00;MI
088;7974062;3136061;B;003;001;1140;GAZTELU                       ;037 ;  ;01;   ;B ;   101,00;MI
088;7974062;3136061;B;004;001;1140;GAZTELU                       ;037 ;  ;BH;   ;B ;   102,00;MI
088;7974063;6115545;J;001;000;1140;GAZTELU                       ;910 ;  ;  ;   ;S ;   837,71;MP
088;7974064;6133306;L;001;001;1140;GAZTELU                       ;043A;  ;00;A  ;V ;    36,80;MI
088;7974064;6133306;L;002;001;1140;GAZTELU                       ;043A;  ;00;   ;G ;    21,24;EU
088;7974064;6133306;L;003;001;1140;GAZTELU                       ;043A;  ;01;   ;V ;    56,28;MI
